Touroku No,name,zip,adr,tel,tel2,fax,open,teikyuu,location,holiday,saigai,zaitaku1,zaitaku2,hinin_tyouzai,hinin_hanbai,pharmacist,member,area
1,薬局 双葉堂,2420005,大和市西鶴間5-22-12,046-263-7010,046-263-7010,046-263-6667,月～金 9:00～18:00、土 9:00～17:00,日・祝・年末年始（12/31～1/3）,35.484008 139.44227,1,,1,,,,小川原 悟,会員,鶴間
2,(有)林間薬局,2420003,大和市林間2-21-3,046-276-5637,046-276-5637,046-277-3331,月・火・木・金9:00～18:30、水9:00～18:30/土9:00～13:00,日・祝・年末年始,35.4984392 139.4496587,1,1,1,,1,1,長谷川遵子,会員,南林間
4,雙葉薬局,2420007,大和市中央林間3-11-18サンケイビルⅤ一階,046-272-6010,046-272-6010,046-272-6010,月曜日から金曜日:9:00〜19:00 木曜日土曜日:9:00〜17:00,日曜日・祝日・夏季・年末年始,35.50825444195352 139.44321974275445,1,1,1,,,,加藤　久幸,会員,つきみ野・中央林間
5,やまと中央薬局,2420021,大和市中央2-2-1,046-261-6612,046-261-6612,046-261-6650,月～金 9:00～18:15、土 9:00～15:45,日・祝・夏季・年末年始,35.4701916 139.4592521,1,1,1,,1,1,和田　めぐみ,会員,大和駅周辺
6,日本調剤 深見薬局,2420018,神奈川県大和市深見西8-4-6,046-200-2320,090-4713-7411,046-200-3267,月～金 8:30～18:00、土 9:00～12:00,日・祝・年末年始,35.4862222 139.4589342,1,1,1,,1,,井上邦彦,非会員,鶴間
7,ウエルシア薬局大和中央林間,2420007,神奈川県大和市中央林間8-25-2,046-278-2161,046-278-2161,046-278-2162,月～土 9:00～19:00,日・祝・年末年始,35.5087018 139.4491036,1,1,1,,,,,,つきみ野・中央林間
8,ひかり薬局つきみ野店,2420001,神奈川県大和市下鶴間521-1,046-278-6221,046-278-6221,046-278-6222,月、火、木、金 8:30～19:30、土 8:30〜17:30,水・日・祝,35.5121072 139.4590549,1,1,,,1,1,安東勇徳,会員,つきみ野・中央林間
9,桜ヶ丘中央薬局,2420024,大和市福田1-7-8 谷田部店舗102,046-244-6829,046-244-6829,046-244-6830,月～金9:00-18:00 土9:00-13:30,日、祝、12/31～1/3,"35.45121291530507, 139.4645806364471",1,1,,1,1,,山内綾子,会員,桜ヶ丘
10,ウエルシア薬局相模大塚駅前店,2420028,神奈川県大和市桜森3-1-1,046-200-6902,046-200-6902,046-200-6903,月〜金 午前中 9:30〜14:00 午後15:00〜19:00、土 午前中 9:30〜14:00,日・祝・年末年始,35.4706295 139.4405544,1,1,1,,,,大澤　健人,非会員,相模大塚
11,ハックドラッグ桜ヶ丘駅前薬局,2420024,神奈川県大和市福田2-3-1,046-279-5032,046-279-5032,046-279-5033,月〜土 9：00〜19：00,日曜・祝日・年末年始,35.4503396 139.4649985,1,1,1,,,,小林紀章,非会員,桜ヶ丘
12,健康堂薬局,2420007,神奈川県大和市中央林間4-5-15,046-275-5235,070-5593-5235,046-277-2068,月、火、水、金 9:00〜19:00、木 9:00〜17:00、土 9:00〜18:30、日 9:00〜12:30,祝、12/30～1/3,35.50831 139.445044,1,1,1,,1,1,袴田勝巳,会員,つきみ野・中央林間
13,ドリームファーマシー,2420024,大和市福田5515-1,046-268-8550,046-268-8550,046-259-8301,月・火・水・金 9:00～19:00、木 9:00～18:00、土 9:00〜14:00,日・祝・年末年始（12／29～1／3）,35.4502502 139.4659481,1,1,1,,,,六倉哲茂,会員,桜ヶ丘
14,アイビス薬局 綾瀬店,2521135,神奈川県綾瀬市寺尾釜田1-1-8,046-733-5601,046-733-5601,046-733-5602,月～日 8:30～17:30,祝日・年末年始,35.4444975 139.4232183,1,1,,,,,柳田久美子,会員,綾瀬市
15,ウエルシア薬局大和南店,2420016,神奈川県大和市大和南1‐12‐16,046-200-2689,046-200-2689,046-200-2688,月～金 9:00～19:30、土 9:00～19:00,日・祝・年末年始,35.4683943 139.465437,1,1,1,,,,西井侑香,非会員,大和駅周辺
16,さくら薬局 ライズモール綾瀬店,2521107,神奈川県綾瀬市深谷中7-18-2 ライズモール綾瀬1階,0467-53-8131,0467-53-8131,0467-53-8135,月～水:9:00～19:00、木金:9:00～13:00、土:9:00～18:00、日祝:9:00～17:00,なし,35.43587881974443 139.44165715496553,1,1,1,,,,,,綾瀬市
17,グリーン薬局,2420006,神奈川県大和市南林間9-1-17,046-273-0391,046-273-0391,046-204-6789,月～土 9:00～18:00,日・祝・12/31～1/3,35.4950324 139.4360563,1,,1,,,,末安亮,会員,南林間
18,クオール薬局大和店,2420029,神奈川県大和市上草柳1-3-1,046-264-0750,046-264-0750,046-264-3932,月火水金 9:00〜18:30、木9:00〜17:00、土 9:00〜13:00,日・祝・年末年始,35.4735539 139.4565386,1,1,1,,1,1,川島亮,会員,大和駅周辺
19,アイン薬局中央林間店,2420007,神奈川県大和市中央林間4-15-3 ジャストイン中央林間1F,046-271-7773,046-271-7773,046-271-7774,第2・4月・火・木・金 9:00～18:00、第1・3・5月・水曜日 9:00～21:00、土曜日 9:00～13:00,日曜日、(第1・3・5、月・水除く)祝日、12／29～1／3,35.5083679 139.4463423,1,1,1,,,,板垣　まゆ美,会員,つきみ野・中央林間
20,やまと東薬局,2420017,大和市大和東1-8-9 定信ビルⅡ 1階,046-206-5371,046-206-5371,046-206-5372,月～水・金 9:00～19:00、木 9:00～18:00、土 9:00～17:00,日・祝・12/30～1/3,35.4700202 139.4634632,1,1,1,,,,脊戸川幹子,会員,大和駅周辺
21,さくら薬局綾瀬深谷店,2521107,綾瀬市深谷中1-4-14,0467-71-6971,0467-71-6971,0467-71-6980,月〜土 8:30〜18:00,日・祝・12/31～1/3,35.4334043 139.4308948,1,1,1,,,,植田　綾,会員,綾瀬市
22,プラチナ薬局高座渋谷店,2420023,神奈川県大和市渋谷7-23-1,046-201-0337,046-201-0337,046-201-0338,月、火、水、金 9:30-18:30、木 9:30-17:30、土 9:30-13:30,日・祝・12/30～1/3,35.430274 139.465821,1,,1,,,,,,高座渋谷
23,日本調剤 中央林間薬局,2420007,神奈川県大和市中央林間3-2-10 中央林間アネックスBF,046-271-6620,090-9000-2837,046-271-6621,月～金 9:00～20:00、土 9:00～18:00,日・祝・年末年始,35.5075707 139.443869,1,1,1,,1,,秋田さつき,非会員,つきみ野・中央林間
24,ひらもと鶴間薬局,2420005,神奈川県大和市西鶴間1-3-9,046-204-4728,046-204-4728,046-204-4732,月・火・木・金 9:00～18:00、水・土 9:00～17:00,日・祝・年末年始,35.4906564 139.4500268,1,1,1,,1,,吉村智之,会員,鶴間
25,日本調剤 南林間駅前薬局,2420003,神奈川県大和市林間2-1-24,046-271-6171,090-1694-7076,046-271-6472,月〜金 9:00〜19:00、土 9:00〜18:00,日・祝・年末年始,35.4968778 139.4483611,1,1,1,,1,,柳田真理奈,非会員,南林間
27,桜森薬局,2420028,神奈川県大和市桜森3-7-18 2階,046-240-1772,046-240-1772,046-240-1773,月～水、金8:45～18:45、木8:45～17:00、土 8:45～13:30,日・祝・12/29～1/3,35.471621 139.440333,1,,,,,,鈴木賢,非会員,相模大塚
28,大信薬局 綾瀬店,2521106,綾瀬市深谷南1-5-5,0467-79-3347,080-8440-8431,0467-79-3720,月火木金 8:30～17:30、水 8:30～16:30、土 8:30～12:30,日・祝・夏季・年末年始,35.4298237 139.4354204,1,1,1,,1,,沖本　美和子,会員,綾瀬市
29,さくら薬局 大和深見台店,2420013,大和市深見台3-5-30深見台レジデンス第2-Ａ,046-200-2271,046-200-2271,046-200-2272,月・火・水・金（9：00～18：00） 土（9：00～12：00）,木・日・祝日,"35.4698709564378, 139.47063326136828",1,1,1,,,,髙山ちひろ,非会員,大和駅周辺
30,みらい薬局大和店,2420021,神奈川県大和市中央1丁目7−21加藤ビル１階,046-265-6861,070-4814-7242,046-265-6862,月・火・金 9:00～18:00、水・木 9:00～17:00、土 9:00～12:00,日・祝・12/30～1/3,35.4658696 139.4609481,1,1,1,,1,,福田　雄太朗,会員,大和駅周辺
31,南林間薬局,2420006,神奈川県大和市南林間1-7-9,046-276-7805,080-9158-4085,046-276-7913,月〜金 9:00〜19:00、土 9:00〜17:00,日・祝・夏季・12/30～1/3,35.4947119 139.4473551,1,1,1,,1,1,大塚　孝明,会員,南林間
32,あやせ中央薬局,2521108,神奈川県綾瀬市深谷上1-12-43,0467-73-8089,070-7406-7760,0467-73-8091,月～金 8:45～18:30,日・祝・12/31～1/3,35.4386702 139.4291831,1,1,1,,,,板倉　悠,非会員,綾瀬市
33,(有)綾瀬保険調剤薬局,2521106,綾瀬市深谷南3-1-52,0467-70-1193,090-3225-1193,0467-70-1193,月・火・水・金 9時～18時 木 9時～17時 土 9時～13時,日、祝日、12/31～1/3,"35.43140187881807, 139.43862550544193",1,,,,,,佐々木　葉月,非会員,綾瀬市
34,アイビス薬局 南綾瀬店,2521113,綾瀬市上土棚中4-1-108,0467-53-7910,0467-53-7910,0467-53-7911,月～土 8：30-17：30,日・祝日・年末年始,35.419097 139.453542,1,1,,,,,織田　龍二,会員,綾瀬市
35,クローバー薬局 早川城山店,2521127,綾瀬市早川城山1-3-1,0467-81-3134,0467-81-3134,0467-81-3561,月・火・水・金 9：30-19：00 土 9：30-14：00,木・日・祝日・年末年始,"35.4411754079099, 139.42537883986867",,1,,,,,土谷　文人,会員,綾瀬市
36,ココカラファイン薬局 大和中央店,2420021,大和市中央1-1-3,046-260-1695,070-3138-8752,046-400-3550,【月～金】9:00～19:00 【土】9:00～18:00,日曜日、祝日、年末年始,"35.46942573473607, 139.46126747383695",1,1,1,,1,,林　優馬,非会員,大和駅周辺
37,ココカラファイン薬局 中央林間店,2420007,大和市中央林間4-14-25 中央林間ｼﾞｮｲﾓｱｰｽﾞ1階,046-278-2421,070-3138-8685,046-278-2421,【月～金】9:00～13:30，14:30～18:00 【土】9:00～13:30，14:30～17:00,日曜日、祝日、12/30～1/3,"35.50802290672711, 139.4455438446999",,1,1,,,,,,つきみ野・中央林間
38,さくら薬局 大和深見西店,2420018,神奈川県大和市深見西3-1-23,046-200-0821,046-200-0821,046-200-0822,月～土 9:00～16:00,日・祝、12/29～1/3,35.4792056 139.4593234,1,1,1,,,,髙橋　郁子,非会員,大和駅周辺
39,シーエス南林間薬局,2420003,大和市林間1-7-8,046-278-2505,046-278-2505,046-278-2506,月火木金8：30～18：30 、水8：30～18：00、土8：30～16：00,日、祝、12/31～1/3,"35.49555482896052, 139.44961952237426",1,1,,,,1,時田恵美子,会員,南林間
40,シーエス薬局 大和店,2420017,大和市大和東1-9-24山川ビル1階,046-200-2531,046-200-2531,046-200-2532,（月・火・水・金）9:00～13:00 14:00～19:00、(土）9:00～13:00,木 日・祝・年末年始,"35.47018892681075, 139.46481798835399",1,,,,,,松下　かおり,会員,大和駅周辺
41,セイムス大和駅前薬局,2420021,大和市中央1-1-20 神崎ビル１F,046-259-7421,046-259-7421,046-259-7423,月～金9：00～19：00 土9：00～18：00,日・祝・12/31～1/3,"35.46949167863926, 139.46086218352053",1,1,1,,,,髙野　智喜,非会員,大和駅周辺
